PointName;Northing1;Easting1;Elevation1;Northing2;Easting2;Elevation2;NorthingMidpoint;EastingMidpoint;ElevationMidpoint;Number;FeatureName;Square;Layer;Cut;Quarter;Type;Comment;ShotNumber;DateShot;Handheld;Slope;Orientation;Problem;Dimensions;CultLevel
1;3.5500;3.8000;-0.8500;3.5500;3.8000;-0.8500;3.5500;3.8000;-0.8500;159;Plotted Find;DD2;IV;4;NE;aDNA;campionne_tereus_per_DNA;-1;23-June-2017;;;;;;MS1
2;3.5500;3.8000;-0.8500;3.5500;3.8000;-0.8500;3.5500;3.8000;-0.8500;159;Plotted Find;DD2;IV;4;NE;aDNA;campione_tereno_per_DNA;-1;23-June-2017;;;;;;MS1
3;3.8000;3.9000;-0.8700;3.8000;3.9000;-0.8700;3.8000;3.9000;-0.8700;160;Plotted Find;DD2;IV;4;NE;aDNA;campionne_tereus_per_DNA;-1;23-June-2017;;;;;;MS1
4;3.8000;3.9000;-0.8700;3.8000;3.9000;-0.8700;3.8000;3.9000;-0.8700;160;Plotted Find;DD2;IV;4;NE;aDNA;campione_tereno_per_DNA;-1;23-June-2017;;;;;;MS1
5;2.5200;5.1600;-0.6300;2.5200;5.1600;-0.6300;2.5200;5.1600;-0.6300;;Plotted Find;FF3;III;4;NW;aDNA;C1_plus_ou_moins_50mg;-1;6-June-2017;;;;;;A2
6;2.7700;5.4500;-0.7300;2.7700;5.4500;-0.7300;2.7700;5.4500;-0.7300;;Plotted Find;FF3;III;4;NW;aDNA;C2_plus_ou_moins_50mg;-1;6-June-2017;;;;;;A2
7;3.4000;4.1300;-0.9430;3.4000;4.1300;-0.9430;3.4000;4.1300;-0.9430;92;Plotted Find;EE2;IV;4;;aDNA;DNA sample;-1;20-June-2018;;;;;;MS1
8;3.4000;4.3800;-0.9480;3.4000;4.3800;-0.9480;3.4000;4.3800;-0.9480;93;Plotted Find;EE2;IV;4;;aDNA;DNA sample;-1;20-June-2018;;;;;;MS1
9;4.0100;-0.9500;-0.2500;4.0100;-0.9500;-0.2500;4.0100;-0.9500;-0.2500;9;Plotted Find;A1;I;3;;BONE;;-1;17-May-1976;;;;;;A1
10;4.3600;-1.0000;-0.2900;4.3600;-1.0000;-0.2900;4.3600;-1.0000;-0.2900;10;Plotted Find;A1;I;3;;BONE;;-1;17-May-1976;;;;;;A1
11;4.3700;-0.9900;-0.2900;4.3700;-0.9900;-0.2900;4.3700;-0.9900;-0.2900;14;Plotted Find;A1;I;3;;BONE;;-1;17-May-1976;;;;;;A1
12;4.5400;-0.7200;-0.2800;4.5400;-0.7200;-0.2800;4.5400;-0.7200;-0.2800;31;Plotted Find;A1;I;4;;BONE;;-1;;;;;;;A1
13;4.6100;-0.9500;-0.4200;4.6100;-0.9500;-0.4200;4.6100;-0.9500;-0.4200;72;Plotted Find;A1;II;4;;BONE;;-1;;;;;;;A1
14;4.5000;-0.6800;-0.4800;4.5000;-0.6800;-0.4800;4.5000;-0.6800;-0.4800;92;Plotted Find;A1;II;7;;BONE;;-1;;;;;;;A1
15;4.3400;-0.6900;-0.4900;4.3400;-0.6900;-0.4900;4.3400;-0.6900;-0.4900;96;Plotted Find;A1;II;7;;BONE;dent_potentielle_indique_comme_D_dans_fiche_1976;-1;;;;;;;A1
16;4.2300;-0.6500;-0.5200;4.2300;-0.6500;-0.5200;4.2300;-0.6500;-0.5200;127;Plotted Find;A1;II;8;;BONE;dent_potentielle_indique_comme_D_dans_fiche_1976;-1;4-June-1976;;;;;;A1
17;4.5100;-0.7800;-0.6600;4.5100;-0.7800;-0.6600;4.5100;-0.7800;-0.6600;162;Plotted Find;A1;III;1;;BONE;;-1;14-June-1976;;;;;;A2
18;4.4200;-0.8300;-0.6600;4.4200;-0.8300;-0.6600;4.4200;-0.8300;-0.6600;163;Plotted Find;A1;III;1;;BONE;dent_potentielle_indique_comme_D_dans_fiche_1976;-1;14-June-1976;;;;;;A2
19;4.4400;-0.8900;-0.6800;4.4400;-0.8900;-0.6800;4.4400;-0.8900;-0.6800;159;Plotted Find;A1;III;1;;BONE;umero;-1;14-June-1976;;;;;;A2
20;4.4800;-0.6600;-0.6800;4.4800;-0.6600;-0.6800;4.4800;-0.6600;-0.6800;181;Plotted Find;A1;III;2;;BONE;;-1;18-June-1976;;;;;;A2
21;4.5300;-0.1000;-0.6800;4.5300;-0.1000;-0.6800;4.5300;-0.1000;-0.6800;183;Plotted Find;A1;III;2;;BONE;se_recolle_avec_181;-1;18-June-1976;;;;;;A2
22;4.7600;-0.3800;-0.8400;4.7600;-0.3800;-0.8400;4.7600;-0.3800;-0.8400;198;Plotted Find;A1;IV;1;;BONE;;-1;29-May-1905;;;;;;MS
23;4.3400;-0.2000;-0.9500;4.3400;-0.2000;-0.9500;4.3400;-0.2000;-0.9500;5;Plotted Find;A1;IV;3;;BONE;;-1;2002-2005;;;;;;M1
24;4.6000;-0.0200;-1.0000;4.6000;-0.0200;-1.0000;4.6000;-0.0200;-1.0000;8;Plotted Find;A1;IV;4;;BONE;;-1;2002-2005;;;;;;M2
25;4.7000;-0.1900;-1.0200;4.7000;-0.1900;-1.0200;4.7000;-0.1900;-1.0200;9;Plotted Find;A1;IV;4;;BONE;;-1;2002-2005;;;;;;M2
26;3.9000;-0.7700;-0.6600;3.9000;-0.7700;-0.6600;3.9000;-0.7700;-0.6600;2;Plotted Find;A2;III;3;;BONE;;-1;22-July-1976;;;;;;A2
27;4.1300;0.3800;-0.5650;4.1300;0.3800;-0.5650;4.1300;0.3800;-0.5650;1;Plotted Find;AA1;III;1;;BONE;;-1;2002-2005;;;;;;A1
28;4.0300;0.8000;-0.5800;4.0300;0.8000;-0.5800;4.0300;0.8000;-0.5800;27;Plotted Find;AA1;III;2;;BONE;;-1;2002-2005;;;;;;A1
29;4.4000;0.6800;-0.6350;4.4000;0.6800;-0.6350;4.4000;0.6800;-0.6350;36;Plotted Find;AA1;III;3;;BONE;;-1;2002-2005;;;;;;A2
30;4.1300;0.5300;-0.6400;4.1300;0.5300;-0.6400;4.1300;0.5300;-0.6400;31;Plotted Find;AA1;III;3;;BONE;;-1;2002-2005;;;;;;A2
31;4.6400;0.1800;-0.7100;4.6400;0.1800;-0.7100;4.6400;0.1800;-0.7100;38;Plotted Find;AA1;III;3;;BONE;;-1;2002-2005;;;;;;A2
32;4.4000;0.0600;-0.7300;4.4000;0.0600;-0.7300;4.4000;0.0600;-0.7300;42;Plotted Find;AA1;IV;1;;BONE;;-1;2002-2005;;;;;;MS1
33;4.5900;0.2000;-0.7400;4.5900;0.2000;-0.7400;4.5900;0.2000;-0.7400;41;Plotted Find;AA1;IV;1;;BONE;;-1;2002-2005;;;;;;MS1
34;4.4000;0.2500;-0.8500;4.4000;0.2500;-0.8500;4.4000;0.2500;-0.8500;45;Plotted Find;AA1;IV;4;;BONE;;-1;2002-2005;;;;;;MS2
35;4.4800;0.1300;-0.8650;4.4800;0.1300;-0.8650;4.4800;0.1300;-0.8650;46;Plotted Find;AA1;IV;4;;BONE;;-1;2002-2005;;;;;;MS2
36;4.7200;0.0400;-0.9700;4.7200;0.0400;-0.9700;4.7200;0.0400;-0.9700;49;Plotted Find;AA1;IV;6;;BONE;;-1;2002-2005;;;;;;M1
37;4.5200;0.1100;-1.0300;4.5200;0.1100;-1.0300;4.5200;0.1100;-1.0300;74;Plotted Find;AA1;IV;7;;BONE;;-1;2002-2005;;;;;;M2
38;4.3800;0.3400;-1.1100;4.3800;0.3400;-1.1100;4.3800;0.3400;-1.1100;79;Plotted Find;AA1;IV;7;;BONE;;-1;2002-2005;;;;;;M2
39;4.7300;0.3700;-1.1300;4.7300;0.3700;-1.1300;4.7300;0.3700;-1.1300;76;Plotted Find;AA1;IV;7;;BONE;;-1;2002-2005;;;;;;M2
40;4.3200;0.8900;-1.1400;4.3200;0.8900;-1.1400;4.3200;0.8900;-1.1400;91;Plotted Find;AA1;IV;7;;BONE;;-1;2002-2005;;;;;;M2
41;4.0000;0.4300;-1.1500;4.0000;0.4300;-1.1500;4.0000;0.4300;-1.1500;160;Plotted Find;AA1;IV;8;;BONE;;-1;2002-2005;;;;;;M3
42;4.0800;0.8500;-1.1800;4.0800;0.8500;-1.1800;4.0800;0.8500;-1.1800;152;Plotted Find;AA1;IV;8;;BONE;;-1;2002-2005;;;;;;M3
43;4.6900;0.2000;-1.2000;4.6900;0.2000;-1.2000;4.6900;0.2000;-1.2000;109;Plotted Find;AA1;IV;8;;BONE;;-1;2002-2005;;;;;;M3
44;4.4200;0.5800;-1.2000;4.4200;0.5800;-1.2000;4.4200;0.5800;-1.2000;126;Plotted Find;AA1;IV;8;;BONE;;-1;2002-2005;;;;;;M3
45;4.1600;0.5400;-1.2600;4.1600;0.5400;-1.2600;4.1600;0.5400;-1.2600;169;Plotted Find;AA1;IV;8;;BONE;;-1;2002-2005;;;;;;M3
46;4.9100;0.3000;-1.2600;4.9100;0.3000;-1.2600;4.9100;0.3000;-1.2600;173;Plotted Find;AA1;IV;8;;BONE;;-1;2002-2005;;;;;;M3
47;4.9200;0.2500;-1.3400;4.9200;0.2500;-1.3400;4.9200;0.2500;-1.3400;191;Plotted Find;AA1;IV;9;;BONE;;-1;2002-2005;;;;;;M4
48;4.3300;0.5300;-1.3900;4.3300;0.5300;-1.3900;4.3300;0.5300;-1.3900;187;Plotted Find;AA1;IV;9;;BONE;;-1;2002-2005;;;;;;M4
49;4.1900;0.0900;-1.3600;4.1900;0.0900;-1.3600;4.1900;0.0900;-1.3600;235;Plotted Find;AA1;IV;10;;BONE;;-1;2002-2005;;;;;;M4
50;4.2300;0.4200;-1.3700;4.2300;0.4200;-1.3700;4.2300;0.4200;-1.3700;200;Plotted Find;AA1;IV;10;;BONE;;-1;2002-2005;;;;;;M4
51;4.1300;0.9300;-1.3700;4.1300;0.9300;-1.3700;4.1300;0.9300;-1.3700;211;Plotted Find;AA1;IV;10;;BONE;;-1;2002-2005;;;;;;M4
